Occupation - unit group,Gender,Taxable income range - tax brackets,Number of individuals,"Taxable income or loss 
no.","Taxable income or loss 
$","Tax on taxable income 
no.","Tax on taxable income 
$","Medicare levy 
no.","Medicare levy 
$","Medicare levy surcharge 
no.","Medicare levy surcharge 
$","Total Medicare levy liability 
no.","Total Medicare levy liability 
$","Net tax 
no.","Net tax 
$","HELP assessment debt 
no.","HELP assessment debt 
$","Salary or wages 
no.","Salary or wages 
$","Tax withheld from salary or wages 
no.","Tax withheld from salary or wages 
$","Allowances earnings tips directors fees etc 
no.","Allowances earnings tips directors fees etc 
$","Employer lump sum payments amount A 
no.","Employer lump sum payments amount A 
$","Employment termination payments taxable component 
no.","Employment termination payments taxable component 
$","Australian government allowances and payments 
no.","Australian government allowances and payments 
$","Australian government pensions and allowances 
no.","Australian government pensions and allowances 
$","Australian annuities and superannuation income streams taxable component taxed element 
no.","Australian annuities and superannuation income streams taxable component taxed element 
$","Australian annuities and superannuation income streams taxable component untaxed element 
no.","Australian annuities and superannuation income streams taxable component untaxed element 
$","Gross interest 
no.","Gross interest 
$","Dividends unfranked 
no.","Dividends unfranked 
$","Dividends franked 
no.","Dividends franked 
$","Dividends franking credit 
no.","Dividends franking credit 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Total work related expenses 
no.","Total work related expenses 
$","Low value pool deduction 
no.","Low value pool deduction 
$","Interest deductions 
no.","Interest deductions 
$","Dividend deductions 
no.","Dividend deductions 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Total reportable fringe benefits amount 
no.","Total reportable fringe benefits amount 
$","Reportable employer superannuation contributions 
no.","Reportable employer superannuation contributions 
$","P&T net primary production amount 
no.","P&T net primary production amount 
$","P&T net non-primary production amount 
no.","P&T net non-primary production amount 
$","Share of franking credit from franked dividends 
no.","Share of franking credit from franked dividends 
$","Net PSI transferred 
no.","Net PSI transferred 
$","Deferred non-commercial business losses primary production deferred losses 
no.","Deferred non-commercial business losses primary production deferred losses 
$","Deferred non-commercial business losses non primary production deferred losses 
no.","Deferred non-commercial business losses non primary production deferred losses 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Estimated tax on net capital gains 
no.","Estimated tax on net capital gains 
$","Capital gains total current year capital gains 
no.","Capital gains total current year capital gains 
$","Capital gains net capital losses carried forward 
no.","Capital gains net capital losses carried forward 
$","Foreign source income assessable foreign source income 
no.","Foreign source income assessable foreign source income 
$","Foreign source income other net foreign source income 
no.","Foreign source income other net foreign source income 
$","Foreign source income foreign income tax offset 
no.","Foreign source income foreign income tax offset 
$","Gross rent 
no.","Gross rent 
$","Rent interest deductions 
no.","Rent interest deductions 
$","Rent capital works deductions 
no.","Rent capital works deductions 
$","Rent other rental deductions 
no.","Rent other rental deductions 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Other income category 1 
no.","Other income category 1 
$","Other income category 2 
no.","Other income category 2 
$","Personal superannuation contributions 
no.","Personal superannuation contributions 
$","Other deductions 
no.","Other deductions 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Estimated business net tax 
no.","Estimated business net tax 
$","Australian superannuation income stream tax offset 
no.","Australian superannuation income stream tax offset 
$","Small business income tax offset 
no.","Small business income tax offset 
$","Low income tax offset 
no.","Low income tax offset 
$","Employment termination payment tax offset 
no.","Employment termination payment tax offset 
$","HELP debt balance 
no.","HELP debt balance 
$","SFSS debt balance 
no.","SFSS debt balance 
$","TSL debt balance 
no.","TSL debt balance 
$","People with private health insurance 
no.","Private health insurance - your Australian Government rebate received 
no.","Private health insurance - your Australian Government rebate received 
$","Private health insurance rebate 
no.","Private health insurance rebate 
$","Excess private health reduction or refund (rebate reduced) 
no.","Excess private health reduction or refund (rebate reduced) 
$"
"1100 Chief Executives, General Managers and Legislators - type not specified",Female,"a. $18,200 or less",76,74,718265,1,4340.37,0,0,0,0,0,0,1,4340.37,1,4572.06,58,629576,43,72504,16,104996,0,0,1,106,4,37233,4,27346,1,10576,0,0,37,36001,4,259,11,12829,10,5226,75,771986,4,12886,3,1380,2,646,3,24242,9,6611,14,45765,1,382,2,106,0,0,12,4977,3,495,25,52063,5,114181,5,41270,1,-954,4,5492,1,228.8,1,534,0,0,2,12844,3,2526,0,0,3,2526,1,2187,1,4225,0,0,0,0,9,218002,7,130624,4,18276,9,195454,4,14499,5,-140851,9,-126352,0,0,0,0,0,0,0,0,4,26007,6,119323,6,8523,0,0,0,0,0,0,0,0,0,0,11,164371,2,18125,0,0,43,30,20543,4,1735.63,3,1008.81
"1100 Chief Executives, General Managers and Legislators - type not specified",Female,"b. $18,201 to $37,000",125,125,3353995,125,206583.58,62,34968.19,0,0,62,34968.19,87,168341.42,0,0,117,2758906,99,361860,26,150264,1,2350,0,0,12,67859,16,232080,0,0,2,38290,70,69504,8,2993,17,89464,16,38277,125,3480888,25,55931,10,12517,39,13556,3,5466,31,22201,56,109671,2,565,4,5569,0,0,44,9209,11,1630,73,126894,7,155293,9,182816,1,241,8,512,2,2885.78,0,0,0,0,0,0,1,1645,0,0,2,3949,5,178691,4,21186,2,319,0,0,10,178038,9,58042,5,9088,10,103604,5,36720,5,-29416,10,7304,1,13,0,0,0,0,1,250,0,0,0,0,0,0,0,0,2,3384.84,0,0,110,43578.3,0,0,21,422146,5,97999.28,0,0,67,52,39918,10,2382.01,4,674.86
"1100 Chief Executives, General Managers and Legislators - type not specified",Female,"c. $37,001 to $80,000",299,299,16930611,299,2983978.59,285,321354.7,7,3963.04,285,325317.74,299,3230757.86,29,94021.9,298,16955782,297,3687695,45,182081,5,57691,6,6026,7,32236,7,46708,1,2010,2,23326,159,176480,13,2565,35,95501,34,40923,299,17700968,126,255969,85,67789,173,64692,33,69760,169,176751,242,634961,3,1514,9,1625,9,21953,141,52342,32,9950,259,762344,52,1401056,26,229838,1,38989,9,42623,3,555.98,1,5857,0,0,3,5769,4,774,4,134.52,5,1340,7,529045,5,60623,4,861,5,12660.08,24,416283,21,298607,10,29530,24,224574,6,71051,19,-207479,25,-136428,0,0,1,8655,1,19000,10,20999,7,82072,6,24967,7,51757,5,9331.16,1,2059,4,98.05,221,52593.11,9,1820.29,54,1130083,1,24764,0,0,169,158,94586,12,1974.64,28,6043.45
"1100 Chief Executives, General Managers and Legislators - type not specified",Female,"d. $80,001 to $180,000",161,161,18021836,161,4736674.01,158,353109.61,11,14061.49,158,367171.1,161,5045482.02,10,78149.73,160,16901047,160,5042518,19,177499,3,37499,5,328522,0,0,0,0,1,32450,0,0,97,306856,13,4252,44,250843,43,107514,161,18397314,38,71715,27,25789,37,18884,15,44063,102,117256,120,277707,0,0,8,25584,5,6052,84,44632,16,5238,136,375498,19,320493,49,560588,0,0,15,200940,7,37075.16,0,0,0,0,0,0,7,84566,7,25909.93,8,177697,6,327988,7,7658,6,5940,6,618.82,23,424339,21,229461,4,7077,23,245555,6,64386,17,-122140,23,-57754,2,362,2,313,0,0,11,15524,0,0,0,0,0,0,0,0,1,4867,0,0,0,0,6,49309.86,10,251405,1,5130.56,0,0,139,119,78057,15,4521.55,64,25340.91
"1100 Chief Executives, General Managers and Legislators - type not specified",Female,"e. $180,000 or more",17,17,4276874,17,1474892.3,17,85537.48,1,1874.52,17,87412,17,1558596.83,0,0,17,3759816,17,1382251,1,146,1,17067,2,122899,0,0,0,0,0,0,0,0,15,93535,7,3937,11,91405,11,38776,17,4341270,6,14034,4,7389,2,906,1,15150,13,17141,14,54620,1,44,1,1566,1,614,13,5628,4,912,16,64400,4,94020,11,97490,0,0,2,2714,2,788.59,0,0,0,0,0,0,1,97800,1,33252,2,98738,2,39984,4,7109,4,6763,4,976.36,7,318794,6,184160,2,8465,6,122098,3,59858,4,-55787,7,4071,0,0,0,0,0,0,1,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23288.22,0,0,0,0,0,0,16,9,4642,0,0,9,4234.38
"1100 Chief Executives, General Managers and Legislators - type not specified",Male,"a. $18,200 or less",110,105,1093590,5,11275.36,1,163.61,0,0,1,163.61,4,10953.88,0,0,88,923156,55,132224,22,152122,2,1369,1,1484,8,51506,10,74566,0,0,0,0,44,55999,6,927,17,32563,17,13953,107,1335822,4,5585,1,200,10,2156,0,0,7,4086,15,12027,2,3746,3,22040,2,7783,8,1730,5,860,28,76698,0,0,9,36605,0,0,3,1858,0,0,1,13325,0,0,0,0,3,1216,0,0,3,6547,5,325482,7,31567,3,19169,3,1651.49,12,429413,10,204165,4,29140,12,213420,6,24342,6,-45829,12,-21487,0,0,2,498,0,0,2,28512,1,1200,0,0,1,1200,0,0,0,0,0,0,2,485.09,0,0,5,73543,0,0,0,0,48,42,39210,6,2361.94,3,55.56
"1100 Chief Executives, General Managers and Legislators - type not specified",Male,"b. $18,201 to $37,000",178,178,4761564,178,298205.8,83,40381.93,0,0,83,40381.93,128,231056.9,1,5312.64,162,3988940,138,551593,31,405723,2,25962,1,1884,16,94970,10,142482,2,32082,0,0,94,132778,14,6656,37,108753,37,46416,178,5085222,49,125937,22,18115,56,16615,8,54502,56,53056,95,268225,3,909,4,1677,2,11197,47,24812,25,8658,115,323629,8,224678,15,307508,0,0,11,51771,5,803.46,2,5545,0,0,0,0,7,4155,6,330.66,9,12200,4,30488,9,16133,7,1236,7,118.42,20,430348,14,190608,9,45528,20,187220,10,107744,10,-100752,20,6992,0,0,0,0,0,0,3,6942,1,161991,2,156004,2,5987,1,234.79,2,2457.99,0,0,161,66904.2,1,9.29,29,754296,3,19464.71,0,0,82,67,61805,12,7637.54,6,968.37
"1100 Chief Executives, General Managers and Legislators - type not specified",Male,"c. $37,001 to $80,000",464,464,27172572,464,4909342.72,451,522724.66,3,2335.4,451,525060.06,463,5289508.03,33,106610.15,453,26549116,450,5842663,73,448171,4,18504,7,79228,14,51695,10,95861,5,71726,7,248523,212,207843,21,6515,69,359432,69,153088,464,28597112,183,492766,93,141962,298,119202,36,40520,254,306845,379,1101295,6,3050,19,34704,9,24717,191,92094,70,14862,392,1395446,49,878019,57,984396,1,-19749,18,260956,6,3652.6,2,7476,0,0,1,33598,11,35815,11,5694.21,14,98915,16,594497,8,58707,9,54352,6,3007.91,51,1154248,45,656370,21,79444,50,584985,18,187558,33,-354109,51,-166551,4,17745,4,1217,2,70000,19,54724,9,173441,9,140126,10,-1291,6,6140.68,10,30671,6,345.96,331,69734.49,13,13806.93,56,948822,5,110840.1,0,0,229,198,135551,23,13574.37,22,5372.88
"1100 Chief Executives, General Managers and Legislators - type not specified",Male,"d. $80,001 to $180,000",388,388,44573043,388,11815686.68,385,880928.97,15,13658.41,385,894587.38,388,12630051.96,13,72920.15,381,42103024,378,12411333,72,699099,8,91605,11,223566,3,2670,0,0,3,26106,9,484469,211,343047,36,51145,100,647525,99,277210,388,45887685,132,407975,65,104725,170,51005,33,78987,238,307969,303,950661,4,1915,25,141217,17,43021,193,80402,57,23123,335,1314683,52,814867,94,1088859,0,0,21,475045,8,91513.42,2,140151,0,0,0,0,16,131147,16,37981.99,20,222283,19,702130,13,70765,10,59962,9,2553.7,58,1228309,46,578641,24,106842,61,642366,29,273568,31,-373108,61,-99540,1,41865,2,20899,1,33000,27,41344,4,336461,4,222913,4,113548,3,27997.43,8,27933,3,1080.74,0,0,14,43445.85,13,304273,2,12670.24,0,0,316,258,190589,45,24139.47,109,43793.47
"1100 Chief Executives, General Managers and Legislators - type not specified",Male,"e. $180,000 or more",99,99,32697482,99,12111925.9,97,643726.78,9,42040.24,97,685767.02,99,12821080.17,1,12176.76,97,23524650,97,9029226,15,508891,7,621691,9,990634,1,2585,0,0,3,53834,4,376850,57,162681,21,53480,50,3670230,50,1570462,99,34460938,32,150005,19,108719,19,8315,9,19631,63,142685,73,429355,1,208,9,84164,10,57487,63,1112682,11,5314,88,1763456,20,451575,35,424787,1,84834,22,1915542,9,248461.53,1,58414,0,0,0,0,7,212948,7,88272.78,14,442568,17,591992,12,105922,10,45179,12,32371.43,19,715077,15,344811,12,103354,19,368225,5,73236,14,-174549,19,-101313,1,27236,4,10570,1,35000,14,36791,0,0,0,0,0,0,0,0,5,38333,0,0,0,0,8,188321.87,1,12177,0,0,0,0,90,63,46043,6,2080.81,49,33756.29
1111 Chief Executives and Managing Directors,Female,"a. $18,200 or less",4536,4366,38011765,51,88805.17,2,130.68,2,94.35,4,225.03,40,81932.19,0,0,3150,38662931,1470,3454000.75,1111,11453675,10,47254,7,78841,135,993624,164,1376544,23,135048,9,92385,2815,3891798,278,216865,1012,2347908,1009,1005619,4479,53793281,325,893077,75,152108,407,76637,18,44986,874,967235,1229,2134043,54,26130,96,749307,40,268598,479,2226731,901,1041774,2004,7337664,57,1437678,405,6030144,135,-4007459,705,3309702,181,789489.01,7,119371,13,234886,63,677207,179,1475839,1,268.32,262,11958176,496,31238348,189,1154173,152,644174,122,18696.21,1074,23943460,905,15808868,435,2170850,1076,12105124,393,2298487,696,-8439869,1092,-6141382,112,327138,23,108571,22,548731,107,319183,211,20134750,203,22945824,235,-3727007,0,0,0,0,2,51.06,16,5535.64,0,0,330,4984614,32,286278,1,6333.35,3200,2955,2230844,296,92030.75,232,77155.17
1111 Chief Executives and Managing Directors,Female,"b. $18,201 to $37,000",10436,10436,281083541,10434,17496246.63,5619,2962916.43,17,5599.93,5612,2964163.06,7178,14532407.95,10,27173.39,7692,175781409,5336,18429764.43,3254,57808420,30,269483,19,90252,223,1565385,398,4368578,109,875445,44,573802,6791,13390048,796,1046056,2941,15022405,2935,6431224,10436,303404404,1771,4617093,303,619027,2415,480317,60,90187,4415,2433245,5983,8239869,126,66623,287,1414155,159,973581,2034,2376849,2953,1582400,7577,20458080,122,2557975,1295,21968368,163,-917994,1871,18708131,544,1741595.24,39,325466,13,146251,111,1277266,439,4101059,302,245462.62,646,17256068,1030,40155561,533,1469364,437,502246,391,66789.06,2416,51527593,1872,26298262,956,3320447,2387,23651107,1139,9189487,1296,-10931710,2445,-1742223,247,660708,65,251510,136,4437330,304,1082664,487,29020443,468,25778096,513,2200266,266,219857.73,114,106184.13,505,28555.54,9815,4006134.31,18,14862.56,733,12353438,71,753546,0,0,7514,7025,5400634,678,235900.21,540,189299.85
1111 Chief Executives and Managing Directors,Female,"c. $37,001 to $80,000",13842,13842,789175909,13841,139745886.9,13589,15383530.91,147,97810.24,13584,15472091.58,13829,150575696.6,446,1461764.45,11878,564396883,10837,111978306.1,2811,62453456,78,1030078,67,721925,120,634709,128,1060226,256,3692898,119,3001965,9525,18957281,1269,1761970,4917,48408903,4907,20716436,13842,830303419,3346,9812410,920,1700537,4180,908674,225,796856,7427,6191298,9611,19409775,278,135552,473,2606338,313,1405100,4209,3305731,5163,2932074,11671,39442862,581,14140065,3015,55786862,317,-1310646,3639,76784227,1180,6724766.39,45,800978,34,573449,153,1554585,960,13562853,958,2557406.23,1278,47616760,1608,58662422,926,4162584,815,2012143,742,337727.53,4020,97272266,3271,48960927,1883,6926199,3990,43722391,1819,18241424,2227,-20580091,4056,-2338667,489,1252443,128,828551,257,7262961,760,2351070,662,47112302,650,40060103,711,5981230,483,1616430.98,292,714129.91,1139,280712.73,9884,2444013.54,167,251454.28,935,14835907,77,895757,0,0,11377,10561,8056028,1132,463361.59,2090,790829.86
1111 Chief Executives and Managing Directors,Female,"d. $80,001 to $180,000",11668,11668,1395755765,11668,375983065.9,11583,27654310.27,553,741987.83,11583,28396298.1,11663,400436550.6,329,1970236.62,10411,926923950,9792,259143462.3,1919,44242020,123,3458573,131,3180577,23,135815,18,169345,281,5091143,104,3624932,8246,24708686,1431,2423795,5547,136109641,5538,58313855,11668,1456994048,3012,10083817,1332,2658382,2632,567391,305,948773,6714,8335451,8195,22593814,374,228195,522,4095163,442,2241925,4804,6950728,5111,4840199,10249,60130936,1284,31982679,3994,74458978,292,472038,4042,188890181,1747,25951184.26,38,1199791,29,488346,110,1508686,1265,30590425,1265,8915764.58,1663,95868451,1639,72388338,1117,6523978,1026,3503444,924,550859.53,4062,118735333,3318,57641299,2055,8378758,4054,53184328,1804,25753858,2307,-26222910,4121,-469052,521,1955017,145,4467416,364,11130883,1239,7993164,490,39771590,478,30731956,552,7871500,370,3047131.52,292,935623,836,451736.81,0,0,256,1335182.63,356,5001711,26,198631,0,0,10890,9489,7350621,950,368011.93,6835,3864603.65
1111 Chief Executives and Managing Directors,Female,"e. $180,000 or more",5382,5382,2578207964,5382,1017965811,5315,50757935.21,150,486324.17,5315,51237507.44,5381,1088329640,44,465599.72,4841,1027562122,4543,397279322.6,722,18091271,144,9242101,162,22671789,0,0,1,21897,132,4783639,71,3585573,4132,32728890,1020,12232707,3231,432918772,3227,185476428,5382,2657333621,1341,5653193,783,2230059,584,132135,112,702995,3029,6572465,3469,15290847,208,147432,315,6282223,416,6978338,2757,28767560,2935,6201795,4786,78658644,998,35320869,2202,42050610,159,965771,2371,483076182,1338,107232559.4,32,3163380,61,4156932,61,2014681,1105,262563978,1105,120347464.9,1399,569362442,976,139125773,986,28181151,912,17108879,820,5065411.26,2113,95029482,1637,42506337,1119,6323844,2099,42972185,938,24739247,1194,-21512131,2135,3227116,441,2051129,106,1533700,283,9061811,847,5315176,220,36865669,231,22556193,264,11956602,170,6461327.21,156,832964,235,169216.53,0,0,221,5834492.61,54,1035894,2,36579,0,0,5256,3741,3262126,108,31937.1,3678,3097899.05
1111 Chief Executives and Managing Directors,Male,"a. $18,200 or less",7986,7507,34130984,150,316339.43,5,1092.63,4,625.06,7,1696.71,129,296289.79,4,25056.13,5423,82354555,2627,10933096.39,2054,24845188,12,36768,18,480888,176,1044547,341,2756020,39,422672,14,285683,4333,12976238,715,2492241,1954,7428792,1947,3180029,7830,109003271,774,2913846,188,649582,915,174338,39,143933,1771,2178816,2570,6060515,125,63550,236,6198122,135,1585412,839,3350995,1947,19245821,4091,41770655,108,2803656,765,12056626,266,-10362370,1245,10838639,337,2455106.58,24,808476,27,3993697,113,3371642,367,5615395,6,7066.24,600,34448754,1133,116858574,402,3105181,318,2043528,244,57223.93,1760,48663634,1450,31937430,768,4105175,1758,26497655,650,4817024,1137,-18693650,1791,-13876626,229,1297106,72,961598,30,774709,447,4260149,628,346216040,636,372645052,691,-35891158,0,0,1,184,7,269,39,12848.89,0,0,435,7811049,43,580333,0,0,5483,5044,3966618,565,251243.46,285,77133.86
1111 Chief Executives and Managing Directors,Male,"b. $18,201 to $37,000",21753,21753,593204302,21750,38206141.23,11320,6064744.65,11,2580.41,11302,6058926.18,15099,31933274.89,11,54844.71,15436,374291000,10552,42350355.23,7234,144269582,39,246408,43,429491,302,1729342,804,8515653,162,1846407,102,2204903,11718,18499237,1861,2535237,5806,33599662,5796,14385368,21753,652747586,3948,12714338,751,1896975,6258,1322843,75,221329,9335,6792618,13136,22948103,303,154864,558,4105026,353,1827701,3832,8407261,6625,5029612,16237,55823544,198,4172512,2477,44161739,367,-1798720,3580,38153022,963,3664485.68,64,654290,25,2201462,157,3681251,867,7363248,582,381051.43,1279,83038714,2369,157296445,939,4412386,736,1350710,630,123800.48,4369,98911937,3536,55477326,1758,6988363,4299,44431069,1990,16129570,2424,-24114391,4429,-7984821,683,2407986,156,1380147,244,6822398,1290,6271785,1311,215826977,1263,211678298,1363,442990,761,662915.97,192,255290.5,1105,64257.67,20388,8356878.89,40,40818.23,1066,20620916,138,1978518,4,9838,14488,13615,10280065,1291,503275.84,687,142846.67
1111 Chief Executives and Managing Directors,Male,"c. $37,001 to $80,000",33673,33673,1950106368,33673,350653377.3,32892,37790317.31,157,108073.41,32878,37875417.79,33632,377304362.7,675,2303886.06,28301,1401821883,25794,285047515.2,7536,205757849,102,1367609,156,1610715,175,640593,217,1607748,435,8558412,303,10923749,19247,33960759,3461,3955161,11266,111879733,11241,47912431,33673,2080175659,7866,29252286,2131,6313461,12723,2799250,209,667018,18069,16286582,24422,55318597,643,327462,1181,8991692,827,4259146,8065,11665067,12509,10118026,28895,125714423,738,16389358,6340,115869382,679,2707521,7963,181178820,2432,16144452.16,103,2401804,93,2138397,219,2048923,2007,28957808,2004,5497314.96,2844,128955737,4190,199397898,1799,11033288,1502,4394876,1367,928498.79,8715,213848088,7306,115857996,3984,15740375,8615,93597354,3853,37322858,4932,-48691341,8813,-11368483,1353,4224276,270,2570525,585,15950314,3880,15618975,1873,148804696,1818,124796269,1943,21178115,1407,5349701.73,622,2074957.94,2782,748782.22,22996,5625274.89,318,541852.32,1412,27678732,156,1957213,5,18488,25794,24173,17930406,2618,1093403.32,3134,1000159.65
1111 Chief Executives and Managing Directors,Male,"d. $80,001 to $180,000",33556,33556,4085576982,33556,1108304206,33186,80559954.72,1551,2152887.95,33176,82667871.24,33535,1177969909,574,3782177.71,30186,2826243693,28731,800102793.8,5976,164984360,273,6695869,333,9561400,52,96432,41,274164,631,15600294,432,19045082,20754,54454966,4281,7950092,15194,361126996,15169,154685566,33556,4308666863,8906,43447102,3392,11015755,10747,2331296,380,1807673,19432,23261551,24835,81863377,962,535032,1689,17725025,1447,14411364,11170,28257540,14280,16414468,29955,219086232,2965,66794365,10430,193985051,755,5164309,11045,524503437,4905,74987093.26,141,5450955,106,4225051,277,9770640,3080,78418130,3078,22278802.45,4288,278527130,5342,296630692,2801,26644715,2479,11458592,2194,2943013.07,10059,292822688,8457,152176469,5043,21202220,9993,129443939,4355,59679296,5826,-69679236,10206,-9999940,1775,9958642,398,4368487,818,23950483,5736,26925174,1481,218750501,1525,185589564,1688,15149254,1039,9976090.03,815,3582775,2237,1237331,0,0,635,3446557.95,636,10679572,48,628868,4,16287,30442,27214,20636124,2915,1141657.49,17643,9299772.86
1111 Chief Executives and Managing Directors,Male,"e. $180,000 or more",23909,23909,14641355990,23909,5957193712,23180,283370664.2,885,3414550.19,23187,286492776.5,23899,6343736888,111,1059248.6,22294,6941279564,21645,2862624634,4108,140944984,649,57305445,845,211155821,8,13829,5,47271,441,21190166,301,19460970,16665,139568975,4290,53234775,12906,1815628774,12890,777993758,23909,15136148750,7335,43161880,3222,13042944,3931,931840,315,1911426,13911,29078374,16708,88126464,883,530508,1760,55610875,2063,42743181,11750,182246148,13552,45434959,21649,487175402,6159,262694124,8645,150041933,544,-1926827,8757,1723769634,4815,370167355.1,155,14264293,302,36569229,308,17844045,4154,1820006491,4152,846654337.3,5727,3923976906,5048,889188984,4111,261237488,3635,163662601,3330,67445487.46,7694,370231798,6222,182756598,4254,30152982,7691,174001336,3135,89774548,4660,-106535863,7813,-16761315,2114,30085600,487,15400683,738,23040469,4948,46699256,1071,420012877,1123,343593276,1299,43309635,768,40146201.94,565,4323453,708,499245.25,0,0,944,28954737.64,136,1933049,4,41103,0,0,22856,16231,13748354,528,166928.19,15809,12885844.24
1112 General Managers,Female,"a. $18,200 or less",4591,4465,41592004,46,69553.56,1,155.37,1,162.79,2,318.16,33,63234.25,3,9149.12,4054,50102425,2977,5717442.45,536,2724289,65,324081,32,73937,280,1666335,131,901873,38,222758,5,24940,2684,2211191,207,75067,778,1255821,777,537828,4556,51099839,501,1020044,92,129491,927,204804,41,187678,1268,812046,1771,2354063,92,50703,87,281946,38,104399,608,698169,1255,580756,2506,5369630,165,3286150,316,3607686,118,-2043209,559,-333426,143,309246.12,25,122186,10,204292,113,991079,127,1157052,1,8.36,177,3882870,390,12463684,149,336493,124,95953,97,6941.22,1038,20938882,943,14963493,513,1891074,1039,11543405,280,1469604,770,-8928694,1052,-7459090,84,278927,18,39345,7,156093,116,1100728,364,22098310,349,23567554,387,-2397255,0,0,0,0,1,21.81,20,5584.42,0,0,508,7647796.58,41,267181,1,8730.68,3001,2723,1858540,334,107396.86,257,82384.43
1112 General Managers,Female,"b. $18,201 to $37,000",12615,12615,351847530,12615,23401122.01,8351,4452853.73,32,10831.69,8346,4459605.73,10050,21158684.97,43,120826.57,11969,317433139,10505,41024788.63,2067,14120667,170,1132920,136,516933,916,4876484,583,6178063,111,867630,44,653625,7607,7770455,661,386921,2297,5722106,2291,2448686,12615,379017008,4404,9531624,865,860909,6183,1644264,302,696950,7821,5633762,9690,18367509,215,101069,325,1073211,132,333572,4042,1285438,6055,1929679,10748,26223814,742,17716893,1219,15834461,135,-1272153,1672,16779182,433,708565.43,83,686668,9,199476,194,2107950,402,2092666,312,117484.03,555,14037132,929,23418925,420,1039943,350,362398,322,63967.33,2544,45468151,2206,27929728,1166,3602385,2531,22277012,881,5664473,1689,-14005447,2576,-8340974,219,632696,54,254462,67,1838151,371,1262307,770,23771550,748,20410845,814,2161657,424,273164.08,110,101197.99,687,36250.46,12096,5058116.59,33,17765.79,1566,25414546.28,99,939758,7,29039.43,7799,7234,4884379,765,261398.79,695,195575.3
1112 General Managers,Female,"c. $37,001 to $80,000",32983,32983,1871838338,32983,329749416.6,32035,36058428.75,312,222233.39,32035,36278563.49,32972,356973319.2,1723,5344381.37,32380,1801819326,31846,381393530.9,6079,27456976,630,6043938,559,3554066,610,2035107,557,3643323,402,4239296,167,3725600,20570,18173789,1708,725509,6722,24029557,6705,10292172,32983,1976462992,17213,42169351,4985,4757665,20193,6030572,1269,3171419,25742,25834084,29618,81963091,793,361992,823,1556355,422,1214907,15518,5019061,21137,5794406,31285,103806335,3072,71850947,5022,55140987,281,-578814,4206,65568060,1576,4702491.8,135,1928340,42,542345,415,2580649,1276,9828867,1274,1960205.45,1694,42494770,2263,56932129,1210,2894515,1086,1508194,1055,247948.4,7033,127081536,6437,78083870,3534,10199437,7063,62810856,2133,15533141,4995,-39545768,7139,-24012627,542,1213233,159,379633,111,3095797,1741,4699740,1285,46389951,1310,37525992,1395,7630824,888,2165155.97,419,740501.26,1584,309660.37,24713,5747064.36,1157,732513.78,3561,59384126.27,232,2167104,8,24053,21971,20333,13224288,2242,725181.68,3887,1205160.08
1112 General Managers,Female,"d. $80,001 to $180,000",21545,21545,2453430724,21545,648210921.6,20948,47417704.59,989,1189440.55,20976,48604202.86,21540,690333132.9,938,5546878.68,21116,2159203544,20785,623816218.1,4084,31788959,598,11962342,604,12259324,52,219713,31,236642,376,6232689,166,4847143,14443,20400834,2037,1548212,7523,66495429,7512,28484053,21545,2544098220,9295,29419036,4374,5649990,8803,2369511,1056,3624311,16792,21379031,18828,62441879,864,514822,706,2280951,624,2312995,11607,6187605,13326,5656771,20439,89664246,2934,57017078,6208,101260105,267,2187427,4684,157118900,2209,16892028.81,96,2425199,49,2100139,229,2657004,1850,32253039,1850,9349279.03,2357,86178809,2368,57973134,1719,5591056,1594,2734376,1491,760537.68,6821,153462223,6253,89934565,3691,12910014,6856,74049614,2238,20862456,4673,-44294426,6924,-23431970,531,1612754,198,932943,142,4411959,2113,5738799,720,35817453,752,25539252,839,7522978,517,3460923.21,352,1026798,1022,476393.96,0,0,1021,3395000.2,1027,14351396.5,57,653589,0,0,19184,16878,11339131,2079,663946.09,10629,4894302.13
